171,Riley Knight,Crows,505000,461000,72,15.6,71.73,Forward,1,0,1,0,0,0
171,Dom Tyson,Kangaroos,410000,556000,72,12.9,0,Midfield,1,1,0,0,0,0
171,Jeremy Howe,Magpies,669000,597000,72,12.1,73.33,Defender,1,0,0,1,0,0
171,Toby McLean,Bulldogs,508000,686000,72,10.5,67,Forward,1,0,1,0,0,0
176,Jaidyn Stephenson,Magpies,470000,477000,71,14.9,80.93,Forward,1,0,1,0,0,0
176,Xavier Duursma,Power,539000,236000,71,30.1,78.25,Midfield,1,1,0,0,0,0
176,Harry Taylor,Cats,352000,432000,71,16.4,56.42,Defender,1,0,0,1,0,0
176,Reece Conca,Dockers,548000,538000,71,13.2,74.73,Defender,1,0,0,1,0,0
176,Sean Darcy,Dockers,493000,552000,71,12.9,68.82,Ruck,1,0,0,0,1,0
176,Luke Davies-Uniacke,Kangaroos,522000,266000,71,26.7,53.21,Midfield,1,1,0,0,0,0
176,Tom Lynch,Crows,609000,579000,71,12.3,89.38,Forward,1,0,1,0,0,0
176,Will Setterfield,Blues,640000,251000,71,28.3,67.11,Midfield,1,1,0,0,0,0
176,Ryan Bastinac,Lions,419000,432000,71,16.4,0,Midfield,1,1,0,0,0,0
185,Luke Hodge,Lions,453000,563000,70,12.4,68.45,Defender,1,0,0,1,0,0
185,Jacob Weitering,Blues,442000,403000,70,17.4,56.15,Defender,1,0,0,1,0,0
185,George Hewett,Swans,506000,478000,70,14.6,75.27,Midfield,1,1,0,0,0,0
188,Connor Rozee,Power,518000,262000,69,26.3,72.59,Forward,1,0,1,0,0,0
188,Shane Edwards,Tigers,497000,482000,69,14.3,75.29,Midfield,1,1,0,0,0,0
188,Jarman Impey,Hawks,463000,508000,69,13.6,71.35,Forward,1,0,1,0,0,0
188,Darcy Byrne-Jones,Power,603000,519000,69,13.3,86.27,Defender,1,0,0,1,0,0
188,Jeremy Cameron,Giants,488000,566000,69,12.2,86.83,Forward,1,0,1,0,0,0
193,Cameron Rayner,Lions,515000,426000,68,16,45.88,Forward,1,0,1,0,0,0
193,Max Gawn,Demons,944000,808000,68,8.4,111.29,Ruck,1,0,0,0,1,0
193,Alex Neal-Bullen,Demons,428000,565000,68,12,61.57,Forward,1,0,1,0,0,0
193,Dawson Simpson,Giants,458000,553000,68,12.3,65.89,Ruck,1,0,0,0,1,0
193,Travis Colyer,Dockers,447000,464000,68,14.7,60.4,Forward,1,0,1,0,0,0
193,Michael Hurley,Bombers,576000,608000,68,11.2,77.42,Defender,1,0,0,1,0,0
193,Jack Darling,Eagles,502000,557000,68,12.2,71.25,Forward,1,0,1,0,0,0
193,Josh Jenkins,Crows,494000,561000,68,12.1,75.09,Ruck,1,0,0,0,1,0
201,Zachary Williams,Giants,626000,421000,67,15.9,92.46,Defender,1,0,0,1,0,0
201,Daniel Rioli,Tigers,488000,480000,67,14,55,Forward,1,0,1,0,0,0
201,Lincoln McCarthy,Lions,460000,305000,67,22,60.29,Forward,1,0,1,0,0,0
201,Kamdyn Mcintosh,Tigers,526000,396000,67,16.9,63.12,Midfield,1,1,0,0,0,0
201,Harris Andrews,Lions,428000,487000,67,13.8,54.14,Defender,1,0,0,1,0,0
201,Dan Houston,Power,697000,522000,67,12.8,80.33,Defender,1,0,0,1,0,0
201,Lachlan Plowman,Blues,424000,351000,67,19.1,61.95,Defender,1,0,0,1,0,0
201,Billy Gowers,Bulldogs,280000,433000,67,15.5,43.7,Forward,1,0,1,0,0,0
209,David Mundy,Dockers,631000,652000,66,10.1,80.55,Midfield,1,1,0,0,0,0
209,Karl Amon,Power,617000,454000,66,14.5,76.35,Midfield,1,1,0,0,0,0
209,Mitch Robinson,Lions,550000,640000,66,10.3,93.78,Midfield,1,1,0,0,0,0
209,Josh Battle,Saints,495000,304000,66,21.7,68.42,Forward,1,0,1,0,0,0
209,Ben Long,Saints,431000,359000,66,18.4,52.81,Defender,1,0,0,1,0,0
209,Jarryn Geary,Saints,382000,515000,66,12.8,67.8,Defender,1,0,0,1,0,0
209,Corey Wagner,Demons,398000,170000,66,38.8,53.73,Forward,1,0,1,0,0,0
209,Paddy Dow,Blues,323000,403000,66,16.4,53.53,Forward,1,0,1,0,0,0
