name,value,price,position,club
Liam Stocker,45.2,234000,,Carlton Blues
Kane Farrell,45.14,305000,,Port Adelaide Power
Liam Jones,44.92,378000,,Carlton Blues
Daniel Venables,44.67,333000,,West Coast Eagles
Daniel McKenzie,44.4,401000,,St Kilda Saints
Sam Taylor,44.14,262000,,Greater Western Sydney Giants
Josh Corbett,44,,,Gold Coast Suns
Kaiden Brand,43.8,361000,,Hawthorn Hawks
Billy Gowers,43.7,433000,,Western Bulldogs
Alex Pearce,43.45,303000,,Fremantle Dockers
Mitchell Hannan,42.67,,,Melbourne Demons
Lewis Melican,42.47,294000,,Sydney Swans
Neville Jetta,42.43,368000,,Melbourne Demons
Lachlan Keeffe,42.4,267000,,Greater Western Sydney Giants
Kyle Hartigan,42.32,361000,,Adeliade Crows
Ryan Garthwaite,41.57,270000,,Richmond Tigers
Conor Nash,40.5,346000,,Hawthorn Hawks
Zaine Cordy,40.09,368000,,Western Bulldogs
Ben King,39.14,260000,,Gold Coast Suns
Jack Hombsch,39,302000,,Gold Coast Suns
Jonathon Marsh,39,,,St Kilda Saints
Oscar McDonald,38.5,318000,,Melbourne Demons
